CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Value Segment,RFM Customer Segments
15718,1,4,"503,05",5,1,1,7,Mid-Value,Potential Loyalists
15720,253,4,"369,95",5,1,1,7,Mid-Value,Potential Loyalists
15721,757,5,"429,35",3,1,1,5,Low-Value,At Risk Customers
15723,5,23,"2232,9500000000003",5,5,4,14,High-Value,Champions
15725,279,4,"212,75",5,1,1,7,Mid-Value,Potential Loyalists
15726,9,8,"500,55",5,2,1,8,High-Value,Potential Loyalists
15727,461,3,"456,95",4,1,1,6,Mid-Value,Potential Loyalists
15728,1116,1,"194,70000000000002",2,1,1,4,Low-Value,Can't Lose
15729,1386,1,"109,1",2,1,1,4,Low-Value,Can't Lose
15731,537,1,"33,8",4,1,1,6,Mid-Value,Potential Loyalists
15733,74,1,"16,8",5,1,1,7,Mid-Value,Potential Loyalists
15735,773,4,"408,70000000000005",3,1,1,5,Low-Value,At Risk Customers
15736,35,3,"100,15",5,1,1,7,Mid-Value,Potential Loyalists
15739,797,6,"390,25",3,1,1,5,Low-Value,At Risk Customers
15740,80,9,"1034,25",5,2,2,9,High-Value,Champions
15741,210,2,"165,3",5,1,1,7,Mid-Value,Potential Loyalists
15742,795,3,"269,6",3,1,1,5,Low-Value,At Risk Customers
15743,706,1,"35,95",4,1,1,6,Mid-Value,Potential Loyalists
15745,13,2,"85,64999999999999",5,1,1,7,Mid-Value,Potential Loyalists
15746,22,3,"78,35",5,1,1,7,Mid-Value,Potential Loyalists
15748,487,3,"189,25",4,1,1,6,Mid-Value,Potential Loyalists
15750,452,3,"192,6",4,1,1,6,Mid-Value,Potential Loyalists
15755,1627,1,"123,4",1,1,1,3,Low-Value,Lost
15756,228,1,"30,35",5,1,1,7,Mid-Value,Potential Loyalists
15758,139,3,"240,70000000000002",5,1,1,7,Mid-Value,Potential Loyalists
15760,0,3,"317,45",5,1,1,7,Mid-Value,Potential Loyalists
15761,878,4,"201,35",3,1,1,5,Low-Value,At Risk Customers
15764,114,2,"99,6",5,1,1,7,Mid-Value,Potential Loyalists
15766,450,2,"50,75",4,1,1,6,Mid-Value,Potential Loyalists
15767,33,4,"116,7",5,1,1,7,Mid-Value,Potential Loyalists
15769,640,5,"146,70000000000002",4,1,1,6,Mid-Value,Potential Loyalists
15771,746,1,"60,8",3,1,1,5,Low-Value,At Risk Customers
15772,849,4,"206,45",3,1,1,5,Low-Value,At Risk Customers
15773,824,3,"196,15",3,1,1,5,Low-Value,At Risk Customers
15774,790,3,"68,95",3,1,1,5,Low-Value,At Risk Customers
15775,376,2,"100,7",4,1,1,6,Mid-Value,Potential Loyalists
15777,104,6,"549,15",5,1,1,7,Mid-Value,Potential Loyalists
15778,98,6,"330,55",5,1,1,7,Mid-Value,Potential Loyalists
15780,1032,3,"54,85",3,1,1,5,Low-Value,At Risk Customers
15781,1058,1,"30,25",3,1,1,5,Low-Value,At Risk Customers
15782,414,2,"152,75",4,1,1,6,Mid-Value,Potential Loyalists
15783,151,3,"827,9499999999999",5,1,2,8,High-Value,Potential Loyalists
15785,1111,2,"63,0",2,1,1,4,Low-Value,Can't Lose
15786,1001,1,"139,95",3,1,1,5,Low-Value,At Risk Customers
15787,1554,1,"114,4",1,1,1,3,Low-Value,Lost
15788,14,4,"158,85",5,1,1,7,Mid-Value,Potential Loyalists
15789,1125,4,"383,95",2,1,1,4,Low-Value,Can't Lose
15791,4,13,"949,1500000000001",5,3,2,10,High-Value,Champions
15795,1035,1,"54,8",3,1,1,5,Low-Value,At Risk Customers
15797,942,1,"122,0",3,1,1,5,Low-Value,At Risk Customers
15799,430,3,"91,45",4,1,1,6,Mid-Value,Potential Loyalists
15801,584,2,"34,25",4,1,1,6,Mid-Value,Potential Loyalists
15803,439,1,"22,9",4,1,1,6,Mid-Value,Potential Loyalists
15805,60,2,"69,5",5,1,1,7,Mid-Value,Potential Loyalists
15808,663,3,"169,89999999999998",4,1,1,6,Mid-Value,Potential Loyalists
15809,1626,1,"142,35000000000002",1,1,1,3,Low-Value,Lost
15812,99,5,"285,0",5,1,1,7,Mid-Value,Potential Loyalists
15814,158,1,"234,2",5,1,1,7,Mid-Value,Potential Loyalists
15815,856,2,"70,15",3,1,1,5,Low-Value,At Risk Customers
15816,602,2,"99,55000000000001",4,1,1,6,Mid-Value,Potential Loyalists
